word,2009_freq,2010_freq,2011_freq,2012_freq,2013_freq,2014_freq,2015_freq,2016_freq,2017_freq,2018_freq
parallel,62.0,71.0,67.0,56.0,70.0,67.0,47.0,46.0,61.0,40.0
adapt,61.0,81.0,75.0,88.0,113.0,88.0,109.0,119.0,108.0,115.0
coop,60.0,67.0,61.0,64.0,66.0,52.0,44.0,48.0,37.0,40.0
problem,60.0,54.0,61.0,56.0,52.0,65.0,54.0,49.0,38.0,25.0
web,60.0,84.0,97.0,103.0,77.0,69.0,50.0,33.0,35.0,39.0
sign,60.0,58.0,81.0,63.0,100.0,78.0,80.0,74.0,69.0,45.0
man,58.0,81.0,61.0,64.0,63.0,67.0,64.0,68.0,44.0,38.0
sci,58.0,36.0,37.0,33.0,41.0,48.0,45.0,48.0,34.0,30.0
construct,57.0,70.0,53.0,48.0,60.0,47.0,37.0,45.0,33.0,20.0
high,56.0,51.0,48.0,31.0,50.0,52.0,63.0,42.0,41.0,40.0
mobl,56.0,136.0,95.0,102.0,85.0,99.0,93.0,83.0,84.0,63.0
rout,56.0,81.0,80.0,84.0,70.0,56.0,29.0,40.0,30.0,31.0
cas,56.0,57.0,79.0,45.0,64.0,51.0,42.0,62.0,48.0,33.0
rel,55.0,66.0,61.0,83.0,66.0,54.0,67.0,62.0,70.0,70.0
combin,54.0,76.0,44.0,55.0,55.0,46.0,57.0,48.0,37.0,44.0
low,54.0,61.0,39.0,68.0,64.0,57.0,62.0,39.0,47.0,38.0
transmit,54.0,77.0,45.0,57.0,50.0,44.0,45.0,54.0,37.0,28.0
evalu,54.0,69.0,63.0,95.0,75.0,83.0,79.0,95.0,77.0,73.0
feedback,54.0,46.0,53.0,37.0,42.0,43.0,45.0,32.0,27.0,17.0
toward,54.0,85.0,72.0,64.0,67.0,78.0,85.0,98.0,103.0,103.0
serv,53.0,88.0,76.0,66.0,85.0,60.0,74.0,64.0,34.0,40.0
fad,53.0,37.0,42.0,33.0,25.0,31.0,19.0,20.0,14.0,7.0
scheduling,52.0,72.0,65.0,69.0,54.0,54.0,48.0,34.0,45.0,32.0
vary,52.0,55.0,80.0,72.0,66.0,75.0,67.0,63.0,67.0,52.0
sourc,52.0,53.0,60.0,54.0,43.0,55.0,45.0,33.0,38.0,34.0
form,51.0,63.0,88.0,63.0,54.0,70.0,56.0,73.0,50.0,37.0
larg,51.0,57.0,53.0,64.0,65.0,57.0,66.0,56.0,36.0,40.0
limit,51.0,45.0,42.0,23.0,46.0,55.0,32.0,34.0,36.0,29.0
study,50.0,89.0,81.0,93.0,97.0,93.0,86.0,94.0,104.0,82.0
sem,50.0,87.0,89.0,70.0,73.0,77.0,77.0,108.0,105.0,115.0
prob,50.0,81.0,96.0,98.0,160.0,88.0,87.0,72.0,74.0,48.0
cognit,50.0,68.0,72.0,66.0,60.0,61.0,45.0,43.0,36.0,19.0
plan,49.0,53.0,95.0,73.0,66.0,62.0,52.0,72.0,62.0,66.0
environ,49.0,47.0,36.0,54.0,55.0,47.0,49.0,44.0,56.0,71.0
spac,49.0,42.0,52.0,49.0,47.0,64.0,69.0,51.0,53.0,59.0
er,49.0,41.0,62.0,59.0,43.0,33.0,37.0,46.0,27.0,43.0
automat,48.0,62.0,64.0,59.0,44.0,44.0,34.0,33.0,21.0,15.0
sampl,48.0,44.0,45.0,52.0,46.0,66.0,72.0,62.0,81.0,45.0
pattern,48.0,49.0,55.0,46.0,58.0,69.0,46.0,36.0,41.0,43.0
reg,48.0,63.0,68.0,48.0,67.0,46.0,42.0,56.0,51.0,38.0
determin,47.0,56.0,39.0,41.0,34.0,34.0,42.0,27.0,34.0,21.0
dist,47.0,60.0,36.0,57.0,49.0,54.0,36.0,39.0,27.0,26.0
repres,47.0,40.0,59.0,52.0,76.0,73.0,84.0,100.0,110.0,113.0
select,47.0,67.0,83.0,63.0,62.0,86.0,78.0,65.0,68.0,65.0
clust,46.0,83.0,88.0,78.0,104.0,92.0,92.0,74.0,66.0,67.0
access,46.0,63.0,61.0,61.0,58.0,65.0,54.0,69.0,45.0,31.0
mod,46.0,55.0,56.0,58.0,57.0,56.0,59.0,41.0,48.0,40.0
finit,46.0,57.0,62.0,49.0,60.0,51.0,49.0,38.0,41.0,25.0
matrix,46.0,46.0,64.0,55.0,53.0,59.0,62.0,55.0,47.0,31.0
onlin,46.0,94.0,63.0,81.0,78.0,87.0,107.0,116.0,91.0,76.0
flow,45.0,41.0,34.0,46.0,37.0,26.0,36.0,41.0,55.0,51.0
numb,45.0,67.0,45.0,46.0,38.0,39.0,38.0,24.0,23.0,16.0
decid,45.0,63.0,61.0,66.0,85.0,38.0,44.0,47.0,38.0,43.0
impl,44.0,75.0,64.0,59.0,47.0,45.0,55.0,40.0,31.0,32.0
un,44.0,63.0,46.0,30.0,50.0,43.0,40.0,46.0,32.0,36.0
effect,44.0,59.0,50.0,61.0,57.0,62.0,54.0,64.0,58.0,58.0
query,44.0,53.0,71.0,63.0,47.0,44.0,61.0,49.0,52.0,47.0
method,44.0,64.0,74.0,86.0,87.0,89.0,66.0,62.0,84.0,63.0
autom,43.0,54.0,67.0,70.0,76.0,62.0,55.0,96.0,120.0,99.0
part,43.0,60.0,63.0,58.0,57.0,53.0,40.0,45.0,54.0,32.0
univers,43.0,30.0,40.0,31.0,32.0,30.0,29.0,28.0,21.0,23.0
weight,43.0,57.0,45.0,62.0,46.0,50.0,54.0,49.0,46.0,36.0
radio,43.0,53.0,44.0,35.0,44.0,60.0,48.0,50.0,24.0,17.0
interact,43.0,49.0,44.0,42.0,47.0,56.0,53.0,59.0,62.0,64.0
extend,42.0,62.0,63.0,47.0,68.0,71.0,61.0,73.0,44.0,46.0
correl,42.0,29.0,37.0,33.0,33.0,34.0,26.0,36.0,35.0,24.0
sum,42.0,29.0,19.0,14.0,17.0,25.0,27.0,25.0,11.0,6.0
property,42.0,40.0,42.0,38.0,34.0,44.0,45.0,30.0,25.0,16.0
test,41.0,68.0,59.0,74.0,60.0,74.0,51.0,47.0,48.0,46.0
diff,41.0,50.0,57.0,63.0,47.0,63.0,50.0,48.0,46.0,55.0
bin,41.0,46.0,57.0,36.0,36.0,47.0,44.0,42.0,42.0,29.0
machin,41.0,54.0,55.0,51.0,55.0,61.0,83.0,103.0,138.0,171.0
broadcast,41.0,49.0,48.0,47.0,23.0,33.0,31.0,24.0,22.0,12.0
evolv,41.0,33.0,74.0,43.0,69.0,44.0,47.0,38.0,59.0,44.0
databas,41.0,34.0,41.0,41.0,37.0,31.0,27.0,34.0,24.0,20.0
equ,41.0,56.0,53.0,40.0,54.0,41.0,37.0,34.0,28.0,25.0
bas,40.0,44.0,41.0,41.0,41.0,41.0,28.0,31.0,28.0,29.0
stabl,40.0,55.0,48.0,39.0,55.0,50.0,56.0,27.0,41.0,39.0
point,40.0,38.0,36.0,41.0,36.0,29.0,38.0,44.0,52.0,35.0
rul,40.0,61.0,36.0,35.0,38.0,28.0,20.0,24.0,25.0,20.0
structure,40.0,38.0,53.0,46.0,52.0,40.0,48.0,49.0,36.0,37.0
op,40.0,57.0,54.0,76.0,64.0,59.0,57.0,61.0,62.0,53.0
regul,40.0,44.0,35.0,33.0,34.0,39.0,42.0,36.0,40.0,45.0
ad,39.0,72.0,45.0,49.0,24.0,24.0,12.0,17.0,25.0,13.0
delay,39.0,34.0,32.0,38.0,41.0,23.0,33.0,26.0,28.0,20.0
transform,38.0,59.0,54.0,48.0,49.0,37.0,47.0,39.0,37.0,38.0
sim,38.0,67.0,61.0,57.0,72.0,45.0,51.0,55.0,59.0,48.0
scal,38.0,61.0,60.0,62.0,74.0,69.0,90.0,94.0,68.0,86.0
softw,38.0,76.0,51.0,66.0,102.0,86.0,50.0,57.0,52.0,53.0
architect,38.0,55.0,55.0,56.0,49.0,63.0,51.0,68.0,64.0,72.0
approach,38.0,46.0,41.0,52.0,50.0,37.0,38.0,37.0,35.0,28.0
not,37.0,41.0,27.0,27.0,27.0,23.0,24.0,32.0,17.0,19.0
theorem,37.0,34.0,41.0,21.0,24.0,30.0,27.0,19.0,15.0,13.0
charact,37.0,56.0,44.0,60.0,55.0,46.0,42.0,44.0,39.0,42.0
robust,37.0,48.0,78.0,74.0,64.0,68.0,77.0,98.0,88.0,89.0
cov,37.0,42.0,39.0,36.0,38.0,52.0,30.0,43.0,40.0,32.0
simpl,37.0,68.0,54.0,68.0,50.0,37.0,50.0,37.0,34.0,36.0
stochast,36.0,50.0,57.0,55.0,62.0,56.0,61.0,66.0,73.0,51.0
link,36.0,42.0,49.0,40.0,27.0,26.0,30.0,27.0,33.0,19.0
ver,36.0,40.0,55.0,35.0,48.0,53.0,24.0,32.0,41.0,37.0
attack,36.0,45.0,38.0,38.0,24.0,37.0,32.0,38.0,37.0,72.0
reduc,36.0,57.0,61.0,61.0,51.0,53.0,65.0,49.0,40.0,31.0
proof,36.0,45.0,28.0,41.0,26.0,23.0,23.0,21.0,30.0,22.0
min,35.0,57.0,44.0,63.0,43.0,40.0,44.0,37.0,37.0,41.0
algebra,35.0,36.0,36.0,23.0,21.0,21.0,22.0,17.0,9.0,9.0
object,35.0,45.0,56.0,45.0,43.0,59.0,99.0,99.0,98.0,112.0
real,35.0,45.0,35.0,43.0,36.0,37.0,42.0,36.0,41.0,49.0
digit,35.0,82.0,35.0,27.0,34.0,43.0,25.0,17.0,22.0,17.0
map,35.0,37.0,35.0,45.0,49.0,39.0,45.0,55.0,54.0,65.0
paramet,35.0,50.0,49.0,73.0,68.0,55.0,65.0,50.0,54.0,21.0
mess,35.0,28.0,32.0,22.0,31.0,32.0,25.0,26.0,13.0,8.0
scheme,35.0,69.0,52.0,57.0,44.0,36.0,25.0,31.0,24.0,24.0
discret,34.0,42.0,35.0,39.0,42.0,28.0,35.0,20.0,28.0,17.0
complet,34.0,38.0,33.0,31.0,28.0,27.0,34.0,25.0,32.0,29.0
word,34.0,27.0,49.0,27.0,22.0,34.0,40.0,75.0,65.0,47.0
typ,34.0,51.0,68.0,41.0,28.0,25.0,35.0,39.0,31.0,35.0
match,34.0,46.0,71.0,47.0,65.0,63.0,56.0,47.0,59.0,51.0
alloc,34.0,46.0,59.0,55.0,45.0,64.0,45.0,56.0,50.0,29.0
mech,34.0,39.0,53.0,51.0,35.0,41.0,35.0,39.0,31.0,32.0
filt,33.0,42.0,42.0,48.0,62.0,45.0,50.0,45.0,44.0,42.0
predict,33.0,44.0,53.0,68.0,79.0,98.0,114.0,124.0,139.0,187.0
path,33.0,39.0,40.0,45.0,43.0,38.0,50.0,40.0,42.0,41.0
energy,33.0,49.0,50.0,76.0,86.0,107.0,94.0,100.0,65.0,52.0
entrop,33.0,28.0,28.0,31.0,31.0,35.0,33.0,14.0,17.0,15.0
glob,32.0,31.0,26.0,15.0,29.0,20.0,24.0,32.0,21.0,23.0
dimend,32.0,39.0,45.0,27.0,41.0,45.0,44.0,44.0,32.0,25.0
cyc,31.0,35.0,36.0,30.0,26.0,31.0,34.0,23.0,22.0,19.0
grid,31.0,36.0,38.0,29.0,35.0,38.0,27.0,32.0,28.0,23.0
vis,31.0,43.0,40.0,52.0,55.0,68.0,91.0,134.0,159.0,144.0
decomposit,31.0,25.0,26.0,26.0,28.0,42.0,50.0,28.0,22.0,26.0
result,31.0,38.0,45.0,38.0,34.0,27.0,25.0,24.0,22.0,10.0
act,31.0,46.0,42.0,54.0,65.0,68.0,92.0,110.0,128.0,97.0
phys,31.0,25.0,13.0,24.0,23.0,19.0,22.0,35.0,26.0,22.0
integr,31.0,52.0,49.0,50.0,49.0,48.0,46.0,49.0,54.0,46.0
robot,30.0,24.0,32.0,33.0,42.0,56.0,48.0,70.0,66.0,79.0
collab,30.0,40.0,23.0,45.0,29.0,42.0,24.0,36.0,25.0,30.0
support,30.0,44.0,39.0,30.0,49.0,35.0,38.0,29.0,28.0,31.0
cit,30.0,16.0,13.0,9.0,15.0,16.0,15.0,28.0,11.0,19.0
expon,30.0,24.0,19.0,17.0,14.0,14.0,15.0,11.0,11.0,6.0
it,30.0,39.0,38.0,35.0,45.0,30.0,34.0,28.0,31.0,14.0
degr,30.0,22.0,44.0,34.0,26.0,24.0,24.0,17.0,10.0,10.0
met,30.0,30.0,34.0,47.0,54.0,44.0,48.0,41.0,34.0,46.0
markov,30.0,38.0,39.0,48.0,50.0,37.0,32.0,28.0,29.0,27.0
id,30.0,49.0,49.0,45.0,52.0,56.0,39.0,44.0,61.0,41.0
cont,29.0,50.0,30.0,40.0,37.0,40.0,35.0,44.0,39.0,52.0
ord,29.0,38.0,57.0,59.0,32.0,27.0,42.0,31.0,38.0,23.0
recovery,29.0,35.0,34.0,38.0,34.0,25.0,29.0,31.0,23.0,17.0
connect,29.0,34.0,58.0,42.0,48.0,36.0,37.0,29.0,43.0,33.0
opportun,29.0,11.0,11.0,21.0,27.0,20.0,16.0,10.0,13.0,12.0
find,29.0,18.0,31.0,18.0,41.0,31.0,24.0,19.0,27.0,18.0
reconstruct,29.0,26.0,16.0,34.0,28.0,23.0,33.0,24.0,56.0,36.0
internet,29.0,25.0,24.0,19.0,30.0,23.0,26.0,30.0,28.0,25.0
soc,29.0,63.0,83.0,105.0,130.0,131.0,98.0,110.0,87.0,75.0
spectr,29.0,46.0,35.0,50.0,40.0,33.0,43.0,30.0,16.0,16.0
hoc,29.0,59.0,34.0,35.0,12.0,15.0,10.0,9.0,10.0,5.0
mat,29.0,39.0,23.0,33.0,43.0,48.0,52.0,49.0,36.0,23.0
tool,29.0,27.0,38.0,28.0,25.0,40.0,30.0,33.0,42.0,20.0
recognit,29.0,56.0,54.0,43.0,81.0,84.0,114.0,121.0,123.0,144.0
hybrid,29.0,42.0,52.0,67.0,52.0,46.0,52.0,57.0,49.0,48.0
knowledg,29.0,39.0,46.0,42.0,44.0,34.0,54.0,53.0,55.0,59.0
align,28.0,26.0,28.0,34.0,26.0,34.0,20.0,26.0,39.0,27.0
feat,28.0,33.0,61.0,64.0,48.0,75.0,90.0,109.0,105.0,99.0
direct,28.0,41.0,34.0,47.0,42.0,37.0,52.0,49.0,35.0,32.0
traff,28.0,23.0,22.0,31.0,21.0,28.0,24.0,31.0,32.0,26.0
lat,28.0,47.0,35.0,48.0,33.0,50.0,35.0,44.0,63.0,38.0
infinit,28.0,9.0,22.0,15.0,12.0,10.0,5.0,9.0,10.0,6.0
spec,28.0,35.0,47.0,30.0,31.0,50.0,15.0,29.0,21.0,17.0
prop,28.0,26.0,27.0,36.0,29.0,24.0,18.0,20.0,15.0,17.0
abstract,28.0,81.0,37.0,23.0,27.0,33.0,21.0,21.0,23.0,23.0
art,28.0,37.0,26.0,21.0,28.0,39.0,26.0,22.0,36.0,27.0
structures,27.0,32.0,24.0,14.0,27.0,14.0,15.0,22.0,20.0,16.0
convex,27.0,18.0,29.0,35.0,28.0,37.0,37.0,22.0,18.0,19.0
neur,27.0,49.0,28.0,31.0,43.0,66.0,148.0,296.0,420.0,420.0
recurs,27.0,16.0,15.0,18.0,18.0,19.0,8.0,15.0,11.0,11.0
multy,27.0,10.0,24.0,19.0,16.0,20.0,15.0,14.0,16.0,17.0
singl,27.0,19.0,13.0,15.0,25.0,25.0,24.0,20.0,29.0,35.0
expery,27.0,37.0,35.0,31.0,43.0,44.0,34.0,27.0,37.0,30.0
strategies,27.0,31.0,33.0,27.0,31.0,38.0,17.0,21.0,18.0,13.0
field,27.0,33.0,26.0,35.0,38.0,30.0,42.0,31.0,30.0,24.0
joint,27.0,35.0,35.0,39.0,45.0,42.0,61.0,59.0,64.0,51.0
cellul,27.0,43.0,42.0,46.0,45.0,61.0,52.0,55.0,32.0,20.0
enh,27.0,25.0,34.0,48.0,35.0,47.0,40.0,39.0,49.0,40.0
partit,27.0,27.0,25.0,30.0,38.0,24.0,36.0,15.0,20.0,16.0
expl,27.0,26.0,21.0,30.0,30.0,38.0,42.0,50.0,66.0,82.0
tradeoff,26.0,26.0,19.0,16.0,21.0,25.0,16.0,21.0,16.0,18.0
rank,26.0,41.0,38.0,43.0,30.0,46.0,53.0,38.0,34.0,38.0
n,26.0,19.0,14.0,9.0,13.0,16.0,13.0,9.0,12.0,11.0
converg,26.0,18.0,22.0,26.0,23.0,14.0,22.0,20.0,20.0,15.0
auth,26.0,44.0,33.0,35.0,34.0,25.0,24.0,22.0,21.0,17.0
group,26.0,45.0,35.0,40.0,49.0,32.0,45.0,36.0,30.0,30.0
geomet,26.0,34.0,30.0,16.0,26.0,21.0,21.0,18.0,23.0,24.0
resourc,26.0,43.0,52.0,49.0,38.0,44.0,43.0,46.0,43.0,41.0
achiev,25.0,45.0,39.0,29.0,18.0,18.0,30.0,18.0,23.0,7.0
kernel,25.0,30.0,35.0,29.0,38.0,41.0,42.0,42.0,37.0,29.0
shar,25.0,38.0,46.0,32.0,40.0,35.0,46.0,41.0,39.0,23.0
topolog,25.0,28.0,24.0,28.0,33.0,23.0,32.0,24.0,24.0,15.0
ag,25.0,34.0,47.0,35.0,33.0,41.0,26.0,37.0,34.0,37.0
secrecy,25.0,18.0,16.0,17.0,22.0,12.0,17.0,7.0,15.0,10.0
without,25.0,16.0,26.0,26.0,24.0,30.0,22.0,20.0,34.0,24.0
survey,24.0,38.0,26.0,52.0,48.0,52.0,54.0,50.0,52.0,48.0
check,24.0,27.0,33.0,23.0,17.0,26.0,27.0,17.0,24.0,13.0
fuzzy,24.0,41.0,41.0,50.0,42.0,41.0,26.0,22.0,16.0,9.0
depend,24.0,22.0,31.0,28.0,25.0,22.0,23.0,36.0,23.0,28.0
cloud,24.0,42.0,41.0,61.0,59.0,79.0,77.0,75.0,54.0,55.0
journ,24.0,7.0,8.0,11.0,7.0,3.0,6.0,6.0,5.0,8.0
multius,24.0,29.0,30.0,28.0,26.0,31.0,23.0,30.0,15.0,14.0
priv,24.0,39.0,54.0,55.0,34.0,47.0,51.0,56.0,67.0,58.0
encod,24.0,22.0,15.0,19.0,20.0,20.0,19.0,20.0,19.0,28.0
schemes,24.0,28.0,32.0,25.0,28.0,33.0,29.0,16.0,21.0,7.0
xml,23.0,13.0,12.0,6.0,10.0,5.0,2.0,0.0,2.0,0.0
manip,23.0,16.0,11.0,8.0,7.0,6.0,13.0,24.0,12.0,30.0
temp,23.0,38.0,32.0,31.0,40.0,41.0,49.0,44.0,42.0,45.0
novel,23.0,30.0,45.0,66.0,39.0,53.0,37.0,38.0,23.0,33.0
out,23.0,26.0,23.0,15.0,11.0,28.0,5.0,14.0,21.0,10.0
term,23.0,18.0,18.0,18.0,12.0,9.0,16.0,12.0,13.0,11.0
lay,23.0,22.0,11.0,25.0,25.0,23.0,24.0,26.0,24.0,9.0
perspect,23.0,19.0,14.0,24.0,18.0,22.0,34.0,38.0,32.0,23.0
produc,23.0,32.0,37.0,28.0,40.0,25.0,24.0,24.0,22.0,21.0
research,23.0,18.0,15.0,26.0,29.0,34.0,37.0,38.0,34.0,18.0
symmet,23.0,29.0,26.0,12.0,20.0,16.0,15.0,8.0,22.0,15.0
arbit,22.0,15.0,14.0,24.0,16.0,15.0,8.0,17.0,15.0,9.0
independ,22.0,23.0,22.0,18.0,36.0,25.0,24.0,13.0,20.0,9.0
col,22.0,29.0,32.0,41.0,31.0,35.0,32.0,33.0,23.0,17.0
technolog,22.0,23.0,26.0,26.0,30.0,33.0,20.0,20.0,18.0,9.0
docu,22.0,24.0,16.0,19.0,21.0,21.0,24.0,27.0,23.0,8.0
