word,2009_freq,2010_freq,2011_freq,2012_freq,2013_freq,2014_freq,2015_freq,2016_freq,2017_freq,2018_freq
space,49.0,42.0,52.0,49.0,47.0,64.0,69.0,51.0,53.0,59.0
improve,48.0,94.0,81.0,92.0,95.0,74.0,80.0,90.0,107.0,104.0
rate,48.0,53.0,49.0,35.0,46.0,34.0,38.0,23.0,28.0,19.0
approximation,48.0,56.0,58.0,62.0,60.0,46.0,62.0,45.0,42.0,26.0
pattern,48.0,49.0,55.0,46.0,58.0,69.0,46.0,36.0,41.0,43.0
sequence,48.0,44.0,42.0,41.0,59.0,49.0,34.0,52.0,49.0,44.0
distance,47.0,59.0,36.0,57.0,49.0,51.0,35.0,37.0,25.0,25.0
rout,46.0,68.0,72.0,71.0,65.0,50.0,26.0,35.0,25.0,28.0
management,46.0,71.0,55.0,54.0,45.0,60.0,49.0,61.0,40.0,33.0
sample,46.0,41.0,44.0,52.0,44.0,65.0,72.0,60.0,79.0,44.0
state,46.0,55.0,52.0,36.0,54.0,52.0,32.0,44.0,44.0,37.0
online,46.0,94.0,63.0,81.0,78.0,87.0,107.0,116.0,91.0,76.0
matrix,46.0,46.0,64.0,55.0,53.0,59.0,62.0,55.0,47.0,31.0
automata,46.0,59.0,64.0,59.0,44.0,44.0,34.0,33.0,21.0,13.0
cluster,46.0,83.0,88.0,77.0,104.0,92.0,91.0,73.0,66.0,67.0
towards,45.0,74.0,62.0,50.0,54.0,66.0,71.0,80.0,85.0,86.0
number,45.0,67.0,45.0,46.0,38.0,39.0,38.0,24.0,23.0,16.0
adaptive,45.0,61.0,60.0,67.0,82.0,71.0,84.0,80.0,70.0,66.0
flow,45.0,40.0,34.0,46.0,37.0,23.0,36.0,40.0,55.0,51.0
cooperative,45.0,49.0,43.0,39.0,46.0,38.0,34.0,35.0,27.0,32.0
polynomial,45.0,41.0,32.0,31.0,33.0,37.0,35.0,26.0,16.0,13.0
limit,45.0,39.0,40.0,22.0,40.0,46.0,28.0,27.0,27.0,22.0
query,44.0,53.0,71.0,63.0,47.0,44.0,61.0,49.0,52.0,47.0
access,44.0,61.0,60.0,60.0,57.0,63.0,52.0,69.0,43.0,31.0
evaluation,44.0,57.0,54.0,76.0,60.0,63.0,61.0,77.0,52.0,53.0
radio,43.0,53.0,44.0,35.0,44.0,60.0,48.0,50.0,24.0,17.0
signal,43.0,39.0,58.0,45.0,69.0,61.0,63.0,53.0,51.0,29.0
weight,43.0,57.0,45.0,62.0,46.0,50.0,54.0,49.0,46.0,36.0
secure,43.0,80.0,60.0,65.0,46.0,39.0,60.0,34.0,39.0,56.0
languages,42.0,34.0,33.0,23.0,38.0,29.0,24.0,21.0,21.0,14.0
test,41.0,65.0,58.0,71.0,52.0,68.0,48.0,45.0,47.0,44.0
broadcast,41.0,49.0,48.0,47.0,23.0,33.0,31.0,24.0,22.0,12.0
machine,41.0,54.0,55.0,51.0,55.0,61.0,83.0,103.0,138.0,171.0
local,41.0,46.0,37.0,50.0,49.0,38.0,47.0,49.0,40.0,37.0
techniques,41.0,41.0,33.0,52.0,44.0,45.0,34.0,27.0,24.0,30.0
protocol,41.0,77.0,56.0,70.0,43.0,43.0,17.0,16.0,15.0,20.0
finite,41.0,51.0,55.0,46.0,55.0,48.0,47.0,35.0,40.0,25.0
service,40.0,73.0,63.0,55.0,76.0,50.0,60.0,51.0,28.0,35.0
computational,40.0,27.0,32.0,29.0,27.0,45.0,25.0,33.0,28.0,17.0
rule,40.0,60.0,36.0,35.0,38.0,28.0,20.0,24.0,25.0,20.0
transmission,40.0,53.0,31.0,47.0,34.0,31.0,35.0,39.0,26.0,19.0
statistical,40.0,37.0,34.0,34.0,29.0,37.0,26.0,23.0,30.0,15.0
classification,40.0,46.0,61.0,79.0,75.0,61.0,92.0,132.0,133.0,159.0
selection,40.0,51.0,63.0,56.0,53.0,70.0,63.0,53.0,54.0,51.0
point,39.0,38.0,33.0,41.0,36.0,29.0,35.0,42.0,52.0,33.0
compress,39.0,44.0,44.0,26.0,50.0,37.0,27.0,26.0,24.0,14.0
high,39.0,36.0,32.0,25.0,31.0,39.0,45.0,33.0,27.0,23.0
delay,39.0,34.0,32.0,38.0,41.0,23.0,33.0,26.0,28.0,20.0
constraint,39.0,42.0,44.0,31.0,22.0,30.0,33.0,15.0,19.0,8.0
software,38.0,76.0,51.0,66.0,102.0,86.0,49.0,57.0,52.0,53.0
approach,38.0,46.0,41.0,52.0,50.0,37.0,38.0,37.0,35.0,28.0
sum,37.0,26.0,18.0,10.0,10.0,12.0,23.0,21.0,8.0,2.0
minimum,37.0,36.0,31.0,32.0,34.0,36.0,19.0,15.0,12.0,9.0
bind,36.0,32.0,40.0,37.0,25.0,34.0,25.0,22.0,28.0,6.0
language,36.0,41.0,56.0,45.0,49.0,62.0,60.0,70.0,77.0,78.0
construction,36.0,37.0,23.0,29.0,38.0,25.0,17.0,25.0,19.0,12.0
solve,36.0,32.0,56.0,35.0,36.0,36.0,30.0,33.0,25.0,14.0
proof,36.0,45.0,28.0,41.0,26.0,23.0,23.0,20.0,30.0,22.0
computation,36.0,56.0,50.0,59.0,48.0,42.0,42.0,50.0,30.0,27.0
attack,36.0,45.0,37.0,38.0,23.0,37.0,31.0,37.0,37.0,70.0
stochastic,35.0,48.0,56.0,53.0,62.0,55.0,60.0,66.0,73.0,50.0
message,35.0,28.0,32.0,22.0,30.0,32.0,25.0,26.0,13.0,8.0
measure,35.0,35.0,41.0,45.0,53.0,57.0,36.0,33.0,39.0,38.0
general,35.0,40.0,32.0,47.0,37.0,40.0,27.0,33.0,18.0,21.0
error,35.0,35.0,44.0,46.0,30.0,25.0,28.0,31.0,20.0,27.0
implementation,35.0,59.0,42.0,51.0,34.0,32.0,45.0,33.0,23.0,21.0
binary,34.0,38.0,49.0,30.0,33.0,42.0,39.0,35.0,31.0,23.0
distribution,34.0,31.0,31.0,44.0,30.0,40.0,33.0,35.0,28.0,24.0
